топик,подпись,шлюз,ld58,канал,назначение,режим,имя,клапаны
/devices/ld58_14_208/controls/6,[14·208·6] (свободен),192.168.69.14,208,6,---,Постоянный,свободен,Дубна 5
/devices/ld58_14_208/controls/7,[14·208·7] (свободен),192.168.69.14,208,7,---,Постоянный,свободен,Дубна 5
/devices/ld58_14_208/controls/8,[14·208·8] (свободен),192.168.69.14,208,8,---,Постоянный,свободен,Дубна 5
/devices/ld58_15_211/controls/1,[15·211·1] здание коллайдера NICA — части здания переход,192.168.69.15,211,1,Дом,Постоянный,здание коллайдера NICA — части здания переход,Дубна 10
/devices/ld58_15_211/controls/2,[15·211·2] коллайдер NICA,192.168.69.15,211,2,Плеер,Постоянный,коллайдер NICA,Дубна 10
/devices/ld58_15_211/controls/3,[15·211·3] машинки,192.168.69.15,211,3,Машинка,Постоянный,машинки,Дубна 10; Дубна 13
/devices/ld58_15_211/controls/4,[15·211·4] детектор MPD ОИЯИ — rgb дальний детектор,192.168.69.15,211,4,Дом,Постоянный,детектор MPD ОИЯИ — rgb дальний детектор,Дубна 10
/devices/ld58_15_211/controls/5,[15·211·5] детектор SPD ОИЯИ — rgb ближний детектор,192.168.69.15,211,5,Дом,Постоянный,детектор SPD ОИЯИ — rgb ближний детектор,Дубна 10
/devices/ld58_15_211/controls/6,[15·211·6] (свободен),192.168.69.15,211,6,---,Постоянный,свободен,Дубна 10
/devices/ld58_15_211/controls/7,[15·211·7] со всего этго клапана (Дубна 10),192.168.69.15,211,7,Фонарь,ШИМ,со всего этго клапана (Дубна 10),Дубна 10
/devices/ld58_15_211/controls/8,[15·211·8] фонари,192.168.69.15,211,8,Фонарь,ШИМ,фонари,Дубна 10; Дубна 13
/devices/ld58_15_212/controls/1,[15·212·1] синхрофазотрон,192.168.69.15,212,1,Плеер,Постоянный,синхрофазотрон,Дубна 10
/devices/ld58_15_212/controls/2,[15·212·2] корпус BMAN детекторов ОИЯИ,192.168.69.15,212,2,Дом,Постоянный,корпус BMAN детекторов ОИЯИ,Дубна 10
/devices/ld58_15_212/controls/3,[15·212·3] BMAN детекторы ОИЯИ — rgb,192.168.69.15,212,3,Дом,Постоянный,BMAN детекторы ОИЯИ — rgb,Дубна 10
/devices/ld58_15_212/controls/4,[15·212·4] зал синхрофазотрона ОИЯИ,192.168.69.15,212,4,Дом,Постоянный,зал синхрофазотрона ОИЯИ,Дубна 10
/devices/ld58_15_212/controls/5,[15·212·5] дальнее крыло основного корпуса №1 ОИЯИ,192.168.69.15,212,5,Дом,Постоянный,дальнее крыло основного корпуса №1 ОИЯИ,Дубна 10
/devices/ld58_15_212/controls/6,[15·212·6] корпус 1А ОИЯИ,192.168.69.15,212,6,Дом,Постоянный,корпус 1А ОИЯИ,Дубна 10
/devices/ld58_15_212/controls/7,[15·212·7] (свободен),192.168.69.15,212,7,---,Постоянный,свободен,Дубна 10
/devices/ld58_15_212/controls/8,[15·212·8] (свободен),192.168.69.15,212,8,---,Постоянный,свободен,Дубна 10
/devices/ld58_17_155/controls/1,[17·155·1] д∕с — 5кж 1группа,192.168.69.17,155,1,Дом,Постоянный,д∕с — 5кж 1группа,Углич 4
/devices/ld58_17_155/controls/2,[17·155·2] д∕с — 5кж 2группа,192.168.69.17,155,2,Дом,Постоянный,д∕с — 5кж 2группа,Углич 4
/devices/ld58_17_155/controls/3,[17·155·3] ДК часового завода,192.168.69.17,155,3,Дом,Постоянный,ДК часового завода,Углич 4
/devices/ld58_17_155/controls/4,[17·155·4] д∕с — 5кж подъезды,192.168.69.17,155,4,Дом,Постоянный,д∕с — 5кж подъезды,Углич 4
/devices/ld58_17_155/controls/5,[17·155·5] дом Выжиловых,192.168.69.17,155,5,Дом,Постоянный,дом Выжиловых,Углич 4
/devices/ld58_17_155/controls/6,[17·155·6] д∕с — деревенский дом,192.168.69.17,155,6,Дом,Постоянный,д∕с — деревенский дом,Углич 4
/devices/ld58_17_155/controls/7,[17·155·7] (свободен),192.168.69.17,155,7,---,Постоянный,свободен,Углич 4
/devices/ld58_17_155/controls/8,[17·155·8] (свободен),192.168.69.17,155,8,---,Постоянный,свободен,Углич 4
/devices/ld58_17_156/controls/1,[17·156·1] Институт маслоделия и сыроделия,192.168.69.17,156,1,Дом,Постоянный,Институт маслоделия и сыроделия,Углич 4
/devices/ld58_17_156/controls/2,[17·156·2] завод Чайка,192.168.69.17,156,2,Дом,Постоянный,завод Чайка,Углич 4
/devices/ld58_17_156/controls/3,[17·156·3] Машинка,192.168.69.17,156,3,Машинка,Постоянный,Машинка,Углич 4
/devices/ld58_17_156/controls/4,[17·156·4] (свободен),192.168.69.17,156,4,---,Постоянный,свободен,Углич 4
/devices/ld58_17_156/controls/5,[17·156·5] д∕с — типовая городская застройка около НИИ,192.168.69.17,156,5,Дом,Постоянный,д∕с — типовая городская застройка около НИИ,Углич 4
/devices/ld58_17_156/controls/6,[17·156·6] дом Шапошниковых,192.168.69.17,156,6,Дом,Постоянный,дом Шапошниковых,Углич 4
/devices/ld58_17_156/controls/7,[17·156·7] городские,192.168.69.17,156,7,Фонарь,ШИМ,городские,Углич 4
/devices/ld58_17_156/controls/8,[17·156·8] (свободен),192.168.69.17,156,8,---,Постоянный,свободен,Углич 4
/devices/ld58_18_150/controls/1,[18·150·1] (свободен),192.168.69.18,150,1,---,Постоянный,свободен,Углич 3
/devices/ld58_18_150/controls/2,[18·150·2] территория Алексеевского женского монастыря,192.168.69.18,150,2,Плеер,Постоянный,территория Алексеевского женского монастыря,Углич 3
/devices/ld58_18_150/controls/3,"[18·150·3] Храм Алексия, митрополита Московского",192.168.69.18,150,3,Дом,Постоянный,"Храм Алексия, митрополита Московского",Углич 3
/devices/ld58_18_150/controls/4,[18·150·4] Церковь Усекновения Главы Иоанна Предтечи,192.168.69.18,150,4,Дом,Постоянный,Церковь Усекновения Главы Иоанна Предтечи,Углич 3
/devices/ld58_18_150/controls/5,[18·150·5] Храм Успения Пресвятой Богородицы,192.168.69.18,150,5,Дом,Постоянный,Храм Успения Пресвятой Богородицы,Углич 3
/devices/ld58_18_150/controls/6,[18·150·6] территория Алексеевского женского монастыря,192.168.69.18,150,6,Фонарь,Постоянный,территория Алексеевского женского монастыря,Углич 3
/devices/ld58_18_150/controls/7,[18·150·7] городские,192.168.69.18,150,7,Фонарь,ШИМ,городские,Углич 3
/devices/ld58_18_150/controls/8,[18·150·8] городские,192.168.69.18,150,8,Фонарь,ШИМ,городские,Углич 3
/devices/ld58_18_151/controls/1,[18·151·1] сигнальные огни скорой помощи,192.168.69.18,151,1,Машинка,Постоянный,сигнальные огни скорой помощи,Углич 3
/devices/ld58_18_151/controls/2,[18·151·2] Пожарная каланча,192.168.69.18,151,2,Дом,Постоянный,Пожарная каланча,Углич 3
/devices/ld58_18_151/controls/3,[18·151·3] д∕с — 4кж подъезд,192.168.69.18,151,3,Дом,Постоянный,д∕с — 4кж подъезд,Углич 3
/devices/ld58_18_151/controls/4,[18·151·4] д∕с — 4кж 1группа,192.168.69.18,151,4,Дом,Постоянный,д∕с — 4кж 1группа,Углич 3
/devices/ld58_18_151/controls/5,[18·151·5] д∕с — 4кж 2группа,192.168.69.18,151,5,Дом,Постоянный,д∕с — 4кж 2группа,Углич 3
/devices/ld58_18_151/controls/6,[18·151·6] дом Серебряковых,192.168.69.18,151,6,Дом,Постоянный,дом Серебряковых,Углич 3
/devices/ld58_18_151/controls/7,[18·151·7] (свободен),192.168.69.18,151,7,---,Постоянный,свободен,Углич 3
/devices/ld58_18_151/controls/8,[18·151·8] (свободен),192.168.69.18,151,8,---,Постоянный,свободен,Углич 3
/devices/ld58_18_152/controls/1,[18·152·1] Машинка,192.168.69.18,152,1,Машинка,Постоянный,Машинка,Углич 3
/devices/ld58_18_152/controls/2,[18·152·2] Дом Переславцевых,192.168.69.18,152,2,Дом,Постоянный,Дом Переславцевых,Углич 3
/devices/ld58_18_152/controls/3,[18·152·3] частный музеи Углич,192.168.69.18,152,3,Дом,Постоянный,частный музеи Углич,Углич 3
/devices/ld58_18_152/controls/4,[18·152·4] вечный огонь,192.168.69.18,152,4,Фонарь,Постоянный,вечный огонь,Углич 3
/devices/ld58_18_152/controls/5,[18·152·5] (свободен),192.168.69.18,152,5,---,Постоянный,свободен,Углич 3
/devices/ld58_18_152/controls/6,[18·152·6] (свободен),192.168.69.18,152,6,---,Постоянный,свободен,Углич 3
/devices/ld58_18_152/controls/7,[18·152·7] парк,192.168.69.18,152,7,Фонарь,ШИМ,парк,Углич 3
/devices/ld58_18_152/controls/8,[18·152·8] городские,192.168.69.18,152,8,Фонарь,ШИМ,городские,Углич 3
/devices/ld58_18_153/controls/1,[18·153·1] Дом Буториных,192.168.69.18,153,1,Дом,Постоянный,Дом Буториных,Углич 3
/devices/ld58_18_153/controls/2,[18·153·2] дом Евреиновых,192.168.69.18,153,2,Дом,Постоянный,дом Евреиновых,Углич 3
/devices/ld58_18_153/controls/3,[18·153·3] частный музеи Углич,192.168.69.18,153,3,Дом,Постоянный,частный музеи Углич,Углич 3
/devices/ld58_18_153/controls/4,[18·153·4] д∕с — деревенский дом,192.168.69.18,153,4,Дом,Постоянный,д∕с — деревенский дом,Углич 3
/devices/ld58_18_153/controls/5,[18·153·5] д∕с — деревенский дом,192.168.69.18,153,5,Дом,Постоянный,д∕с — деревенский дом,Углич 3
/devices/ld58_18_153/controls/6,[18·153·6] Церковь святых мучеников Флора и Лавра,192.168.69.18,153,6,Дом,Постоянный,Церковь святых мучеников Флора и Лавра,Углич 3
/devices/ld58_18_153/controls/7,[18·153·7] спуск к воде,192.168.69.18,153,7,Фонарь,ШИМ,спуск к воде,Углич 3
/devices/ld58_18_153/controls/8,[18·153·8] Храм Корсунской иконы Божией Матери — уменьшить яркость?,192.168.69.18,153,8,Дом,ШИМ,Храм Корсунской иконы Божией Матери — уменьшить яркость?,Углич 3
/devices/ld58_18_154/controls/1,[18·154·1] у причала,192.168.69.18,154,1,Плеер,Постоянный,у причала,Углич 3
/devices/ld58_18_154/controls/2,[18·154·2] AZIMUT Отель Углич,192.168.69.18,154,2,Дом,Постоянный,AZIMUT Отель Углич,Углич 3
/devices/ld58_18_154/controls/3,[18·154·3] д∕с — деревенский дом,192.168.69.18,154,3,Дом,Постоянный,д∕с — деревенский дом,Углич 3
/devices/ld58_18_154/controls/4,[18·154·4] (свободен),192.168.69.18,154,4,---,Постоянный,свободен,Углич 3
/devices/ld58_18_154/controls/5,[18·154·5] д∕с — деревенский дом,192.168.69.18,154,5,Дом,Постоянный,д∕с — деревенский дом,Углич 3
/devices/ld58_18_154/controls/6,[18·154·6] (свободен),192.168.69.18,154,6,---,Постоянный,свободен,Углич 3
/devices/ld58_18_154/controls/7,[18·154·7] набережная,192.168.69.18,154,7,Фонарь,ШИМ,набережная,Углич 3
/devices/ld58_18_154/controls/8,[18·154·8] территория AZIMUT Отеля,192.168.69.18,154,8,Фонарь,ШИМ,территория AZIMUT Отеля,Углич 3
/devices/ld58_19_146/controls/1,[19·146·1] (свободен),192.168.69.19,146,1,---,Постоянный,свободен,Углич 2
/devices/ld58_19_146/controls/2,[19·146·2] Церковь Казанской Божьей Матери,192.168.69.19,146,2,Дом,Постоянный,Церковь Казанской Божьей Матери,Углич 2
/devices/ld58_19_146/controls/3,"[19·146·3] сигнальные огни, полиция",192.168.69.19,146,3,Машинка,Постоянный,"сигнальные огни, полиция",Углич 2
/devices/ld58_19_146/controls/4,[19·146·4] галерея православного искусства,192.168.69.19,146,4,Дом,Постоянный,галерея православного искусства,Углич 2
/devices/ld58_19_146/controls/5,[19·146·5] музей Городского Быта,192.168.69.19,146,5,Дом,Постоянный,музей Городского Быта,Углич 2
/devices/ld58_19_146/controls/6,[19·146·6] сцена велофестиваля Угличская верста,192.168.69.19,146,6,Плеер,Постоянный,сцена велофестиваля Угличская верста,Углич 2
/devices/ld58_19_146/controls/7,[19·146·7] вокруг часовни,192.168.69.19,146,7,Фонарь,ШИМ,вокруг часовни,Углич 2
/devices/ld58_19_146/controls/8,[19·146·8] площадь,192.168.69.19,146,8,Фонарь,ШИМ,площадь,Углич 2
/devices/ld58_19_147/controls/1,[19·147·1] территория Воскресенского монастыря,192.168.69.19,147,1,Плеер,Постоянный,территория Воскресенского монастыря,Углич 2
/devices/ld58_19_147/controls/2,[19·147·2] (свободен),192.168.69.19,147,2,---,Постоянный,свободен,Углич 2
/devices/ld58_19_147/controls/3,[19·147·3] постоялый двор Погудаловых,192.168.69.19,147,3,Дом,Постоянный,постоялый двор Погудаловых,Углич 2
/devices/ld58_19_147/controls/4,[19·147·4] дом купца Постнова,192.168.69.19,147,4,Дом,Постоянный,дом купца Постнова,Углич 2
/devices/ld58_19_147/controls/5,[19·147·5] Воскресенский монастырь,192.168.69.19,147,5,Дом,Постоянный,Воскресенский монастырь,Углич 2
/devices/ld58_19_147/controls/6,[19·147·6] Воскресенский монастырь,192.168.69.19,147,6,Дом,Постоянный,Воскресенский монастырь,Углич 2
/devices/ld58_19_147/controls/7,[19·147·7] городские,192.168.69.19,147,7,Фонарь,ШИМ,городские,Углич 2
/devices/ld58_19_147/controls/8,[19·147·8] городские,192.168.69.19,147,8,Фонарь,ШИМ,городские,Углич 2
/devices/ld58_19_148/controls/1,[19·148·1] Волжская Ривьера отель,192.168.69.19,148,1,Дом,Постоянный,Волжская Ривьера отель,Углич 2
/devices/ld58_19_148/controls/2,[19·148·2] Машинка,192.168.69.19,148,2,Машинка,Постоянный,Машинка,Углич 2
/devices/ld58_19_148/controls/3,[19·148·3] Музей гидроэнергетики,192.168.69.19,148,3,Дом,Постоянный,Музей гидроэнергетики,Углич 2
/devices/ld58_19_148/controls/4,[19·148·4] перед зданием ГЭС,192.168.69.19,148,4,Фонарь,Постоянный,перед зданием ГЭС,Углич 2
/devices/ld58_19_148/controls/5,[19·148·5] мост на клапане берега,192.168.69.19,148,5,Фонарь,Постоянный,мост на клапане берега,Углич 2
/devices/ld58_19_148/controls/6,[19·148·6] здание ГЭС Углич,192.168.69.19,148,6,Дом,Постоянный,здание ГЭС Углич,Углич 2
/devices/ld58_19_148/controls/7,[19·148·7] вокруг отеля,192.168.69.19,148,7,Фонарь,ШИМ,вокруг отеля,Углич 2
/devices/ld58_19_148/controls/8,[19·148·8] вокруг музея,192.168.69.19,148,8,Фонарь,ШИМ,вокруг музея,Углич 2
/devices/ld58_19_149/controls/1,[19·149·1] колокольня Угличского кремля,192.168.69.19,149,1,Дом,Постоянный,колокольня Угличского кремля,Углич 2
/devices/ld58_19_149/controls/2,[19·149·2] бывшее здание Городской Думы,192.168.69.19,149,2,Дом,Постоянный,бывшее здание Городской Думы,Углич 2
/devices/ld58_19_149/controls/3,[19·149·3] палаты угличских князей,192.168.69.19,149,3,Дом,Постоянный,палаты угличских князей,Углич 2
/devices/ld58_19_149/controls/4,[19·149·4] церковь Царевича Димитрия на крови,192.168.69.19,149,4,Дом,Постоянный,церковь Царевича Димитрия на крови,Углич 2
/devices/ld58_19_149/controls/5,[19·149·5] храм Преображения Господня и Похвалы Пресвятой Богородицы,192.168.69.19,149,5,Дом,Постоянный,храм Преображения Господня и Похвалы Пресвятой Богородицы,Углич 2
/devices/ld58_19_149/controls/6,[19·149·6] колокольня Угличского кремля,192.168.69.19,149,6,Плеер,Постоянный,колокольня Угличского кремля,Углич 2
/devices/ld58_19_149/controls/7,[19·149·7] кремль,192.168.69.19,149,7,Фонарь,ШИМ,кремль,Углич 2
/devices/ld58_19_149/controls/8,[19·149·8] мост,192.168.69.19,149,8,Фонарь,ШИМ,мост,Углич 2
/devices/ld58_21_183/controls/1,[21·183·1] храм Вознесения Господня,192.168.69.21,183,1,Дом,Постоянный,храм Вознесения Господня,Кимры 3
/devices/ld58_21_183/controls/2,"[21·183·2] дом Ускова, жилой деревянный дом в стиле модерн",192.168.69.21,183,2,Дом,Постоянный,"дом Ускова, жилой деревянный дом в стиле модерн",Кимры 3
/devices/ld58_21_183/controls/3,[21·183·3] Дом Кустаря,192.168.69.21,183,3,Дом,Постоянный,Дом Кустаря,Кимры 3
/devices/ld58_21_183/controls/4,"[21·183·4] Дом Кустаря, мастерская",192.168.69.21,183,4,Дом,Постоянный,"Дом Кустаря, мастерская",Кимры 3
/devices/ld58_21_183/controls/5,"[21·183·5] Дом Хамковой, жилой деревянный дом в стиле модерн",192.168.69.21,183,5,Дом,Постоянный,"Дом Хамковой, жилой деревянный дом в стиле модерн",Кимры 3
/devices/ld58_21_183/controls/6,"[21·183·6] дом деревянный с башенкой, модерн",192.168.69.21,183,6,Дом,Постоянный,"дом деревянный с башенкой, модерн",Кимры 3
/devices/ld58_21_183/controls/7,[21·183·7] городские,192.168.69.21,183,7,Фонарь,ШИМ,городские,Кимры 3
/devices/ld58_21_183/controls/8,[21·183·8] диско RGB на сцене Былинного берега,192.168.69.21,183,8,Фонарь,ШИМ,диско RGB на сцене Былинного берега,Кимры 3
/devices/ld58_21_184/controls/1,[21·184·1] (свободен),192.168.69.21,184,1,---,Постоянный,свободен,Кимры 3
/devices/ld58_21_184/controls/2,"[21·184·2] дом Е. Смирнова, жилой деревянный дом, модерн",192.168.69.21,184,2,Дом,Постоянный,"дом Е. Смирнова, жилой деревянный дом, модерн",Кимры 3
/devices/ld58_21_184/controls/3,[21·184·3] дом Носова,192.168.69.21,184,3,Дом,Постоянный,дом Носова,Кимры 3
/devices/ld58_21_184/controls/4,[21·184·4] дом сапожника-писателя М.А. Рыбакова,192.168.69.21,184,4,Дом,Постоянный,дом сапожника-писателя М.А. Рыбакова,Кимры 3
/devices/ld58_21_184/controls/5,[21·184·5] Машинка,192.168.69.21,184,5,Машинка,Постоянный,Машинка,Кимры 3
/devices/ld58_21_184/controls/6,[21·184·6] сцена Былинный берег,192.168.69.21,184,6,Плеер,Постоянный,сцена Былинный берег,Кимры 3
/devices/ld58_21_184/controls/7,[21·184·7] диско холодный свет,192.168.69.21,184,7,Фонарь,ШИМ,диско холодный свет,Кимры 3
/devices/ld58_21_184/controls/8,[21·184·8] диско теплый свет,192.168.69.21,184,8,Фонарь,ШИМ,диско теплый свет,Кимры 3
/devices/ld58_22_167/controls/1,[22·167·1] д∕с — деревянный дом,192.168.69.22,167,1,Дом,Постоянный,д∕с — деревянный дом,Мышкин 2
/devices/ld58_22_167/controls/2,[22·167·2] Уездная земская управа. Тютчевский дом,192.168.69.22,167,2,Дом,Постоянный,Уездная земская управа. Тютчевский дом,Мышкин 2
/devices/ld58_22_167/controls/3,[22·167·3] Дом Шуваловых,192.168.69.22,167,3,Дом,Постоянный,Дом Шуваловых,Мышкин 2
/devices/ld58_22_167/controls/4,[22·167·4] Дом Серебряковых,192.168.69.22,167,4,Дом,Постоянный,Дом Серебряковых,Мышкин 2
/devices/ld58_22_167/controls/5,[22·167·5] Краеведческий музей. Музей деревянного зодчества,192.168.69.22,167,5,Дом,Постоянный,Краеведческий музей. Музей деревянного зодчества,Мышкин 2
/devices/ld58_22_167/controls/6,[22·167·6] Краеведческий музей. Музей деревянного зодчества,192.168.69.22,167,6,Дом,Постоянный,Краеведческий музей. Музей деревянного зодчества,Мышкин 2
/devices/ld58_22_167/controls/7,[22·167·7] Краеведческий музей. Музей деревянного зодчества,192.168.69.22,167,7,Дом,Постоянный,Краеведческий музей. Музей деревянного зодчества,Мышкин 2
/devices/ld58_22_167/controls/8,[22·167·8] Музей Столицы лоцманов. Краеведческий музей,192.168.69.22,167,8,Дом,Постоянный,Музей Столицы лоцманов. Краеведческий музей,Мышкин 2
/devices/ld58_22_168/controls/1,[22·168·1] Скорбященская церковь,192.168.69.22,168,1,Плеер,Постоянный,Скорбященская церковь,Мышкин 2
/devices/ld58_22_168/controls/2,[22·168·2] Машинка,192.168.69.22,168,2,Машинка,Постоянный,Машинка,Мышкин 2
/devices/ld58_22_168/controls/3,[22·168·3] Скорбященская церковь,192.168.69.22,168,3,Дом,Постоянный,Скорбященская церковь,Мышкин 2
/devices/ld58_22_168/controls/4,[22·168·4] здание женской прогимназии,192.168.69.22,168,4,Дом,Постоянный,здание женской прогимназии,Мышкин 2
/devices/ld58_22_168/controls/5,[22·168·5] Собор Николая Чудотворца,192.168.69.22,168,5,Дом,Постоянный,Собор Николая Чудотворца,Мышкин 2
/devices/ld58_22_168/controls/6,[22·168·6] музей Мыши,192.168.69.22,168,6,Дом,Постоянный,музей Мыши,Мышкин 2
